,Lead time,Transfers,Origin,Destination,Departure,Arrival,kg CO2e/TEU,Ports,Carriers
173,21 days,2,BRPEC,BEZEE,"['28 OCT', ' 21:17', 'UTC-03:00']","['18 NOV', ' 08:42', 'UTC+01:00']",960,"[['PEC', 'PTM', 'RTM', 'LGP', 'BRV', 'HAM'], ['HAM', 'ANR'], ['ANR', 'ZEE']]","['Hapag-Lloyd, MSC', 'Hapag-Lloyd']"
174,22 days,2,BRPEC,BEZEE,"['31 OCT', ' 10:15', 'UTC-03:00']","['21 NOV', ' 21:42', 'UTC+01:00']",995,"[['PEC', 'LPA', 'VLC'], ['VLC', 'ANR'], ['ANR', 'ZEE']]","['MSC', 'MSC']"
175,25 days,2,BRPEC,BEZEE,"['7 NOV', ' 10:15', 'UTC-03:00']","['1 DEC', ' 21:17', 'UTC+01:00']",1030,"[['PEC', 'LPA', 'VLC'], ['VLC', 'LGP', 'RTM'], ['RTM', 'ZEE']]","['Hapag-Lloyd, MSC', 'MSC, W.E.C. Lines']"
176,26 days,2,BRPEC,BEZEE,"['30 OCT', ' 03:00', 'UTC-03:00']","['25 NOV', ' 03:18', 'UTC+01:00']",1355,"[['PEC', 'SUA', 'SSZ'], ['SSZ', 'PTM', 'TNG', 'LGP', 'RTM'], ['RTM', 'ZEE']]","['Maersk, MSC', 'CMA CGM, Hamburg Sud, Maersk']"
177,12 days,1,BRPEC,NLAMS,"['28 OCT', ' 21:17', 'UTC-03:00']","['9 NOV', ' 14:04', 'UTC+01:00']",735,"[['PEC', 'PTM', 'RTM'], ['RTM', 'AMS']]","['Hapag-Lloyd, MSC']"
178,18 days,2,BRPEC,NLAMS,"['26 OCT', ' 22:27', 'UTC-03:00']","['13 NOV', ' 02:55', 'UTC+01:00']",815,"[['PEC', 'FOR'], ['FOR', 'NAT', 'VGO', 'LGP', 'RTM'], ['RTM', 'AMS']]",['CMA CGM']
179,16 days,2,BRPEC,NLAMS,"['27 OCT', ' 08:30', 'UTC-03:00']","['11 NOV', ' 23:47', 'UTC+01:00']",855,"[['PEC', 'LPA'], ['LPA', 'LGP', 'RTM'], ['RTM', 'AMS']]","['MSC', 'MSC']"
180,21 days,2,BRPEC,NLAMS,"['28 OCT', ' 21:17', 'UTC-03:00']","['18 NOV', ' 02:32', 'UTC+01:00']",890,"[['PEC', 'PTM'], ['PTM', 'ANR'], ['ANR', 'AMS']]","['Hapag-Lloyd', 'Hapag-Lloyd']"
181,21 days,2,BRPEC,NLAMS,"['31 OCT', ' 10:15', 'UTC-03:00']","['20 NOV', ' 20:47', 'UTC+01:00']",995,"[['PEC', 'LPA', 'VLC'], ['VLC', 'RTM'], ['RTM', 'AMS']]","['MSC', 'MSC']"
182,25 days,2,BRPEC,NLAMS,"['7 NOV', ' 10:15', 'UTC-03:00']","['1 DEC', ' 20:47', 'UTC+01:00']",1015,"[['PEC', 'LPA', 'VLC'], ['VLC', 'LGP', 'RTM'], ['RTM', 'AMS']]","['Hapag-Lloyd, MSC', 'MSC, W.E.C. Lines']"
183,26 days,2,BRPEC,NLAMS,"['30 OCT', ' 03:00', 'UTC-03:00']","['25 NOV', ' 02:46', 'UTC+01:00']",1340,"[['PEC', 'SUA', 'SSZ'], ['SSZ', 'PTM', 'TNG', 'LGP', 'RTM'], ['RTM', 'AMS']]","['Maersk, MSC', 'CMA CGM, Hamburg Sud, Maersk']"
184,26 days,3,BRPEC,NLAMS,"['28 OCT', ' 21:17', 'UTC-03:00']","['23 NOV', ' 09:22', 'UTC+01:00']",890,"[['PEC', 'PTM'], ['PTM', 'ANR'], ['ANR', 'RTM'], ['RTM', 'AMS']]","['Hapag-Lloyd', 'Hapag-Lloyd', 'Hapag-Lloyd']"
185,18 days,3,BRPEC,NLAMS,"['28 OCT', ' 21:17', 'UTC-03:00']","['15 NOV', ' 14:24', 'UTC+01:00']",905,"[['PEC', 'PTM'], ['PTM', 'LEI'], ['LEI', 'RTM'], ['RTM', 'AMS']]","['Hapag-Lloyd', 'Hapag-Lloyd', 'Hapag-Lloyd, Unifeeder']"
186,23 days,3,BRPEC,NLAMS,"['27 OCT', ' 08:30', 'UTC-03:00']","['18 NOV', ' 21:28', 'UTC+01:00']",930,"[['PEC', 'LPA'], ['LPA', 'LEH'], ['LEH', 'ANR'], ['ANR', 'AMS']]","['MSC', 'MSC', 'MSC']"
187,24 days,3,BRPEC,NLAMS,"['31 OCT', ' 10:15', 'UTC-03:00']","['24 NOV', ' 08:22', 'UTC+01:00']",1040,"[['PEC', 'LPA', 'VLC'], ['VLC', 'ANR'], ['ANR', 'RTM'], ['RTM', 'AMS']]","['MSC', 'MSC', 'Containerships, MSC']"
188,25 days,3,BRPEC,NLAMS,"['28 OCT', ' 22:27', 'UTC-03:00']","['22 NOV', ' 09:47', 'UTC+01:00']",1480,"[['PEC', 'FOR'], ['FOR', 'PTP', 'CTG'], ['CTG', 'CAU', 'RTM'], ['RTM', 'AMS']]","['CMA CGM', 'CMA CGM, COSCO, Hapag-Lloyd, OOCL']"
189,25 days,3,BRPEC,NLAMS,"['29 OCT', ' 05:16', 'UTC-03:00']","['23 NOV', ' 01:47', 'UTC+01:00']",2145,"[['PEC', 'SUA'], ['SUA', 'CTB'], ['CTB', 'RTM'], ['RTM', 'AMS']]","['MSC', 'MSC']"
190,27 days,3,BRPEC,NLAMS,"['29 OCT', ' 05:16', 'UTC-03:00']","['24 NOV', ' 14:43', 'UTC+01:00']",2325,"[['PEC', 'SUA'], ['SUA', 'CTB', 'CAU'], ['CAU', 'ANR'], ['ANR', 'AMS']]","['MSC', 'MSC']"
191,19 days,1,BRSSA,NLRTM,"['28 OCT', ' 01:00', 'UTC-03:00']","['15 NOV', ' 22:45', 'UTC+01:00']",850,"[['SSA', 'PEC'], ['PEC', 'PTM', 'RTM']]","['Hapag-Lloyd, Maersk', 'Hapag-Lloyd, MSC']"
