,Lead time,Transfers,Origin,Destination,Departure,Arrival,kg CO2e/TEU,Ports,Carriers
2847,21 days,2,COSMR,NLAMS,"['27 OCT', ' 03:38', 'UTC-05:00']","['17 NOV', ' 05:58', 'UTC+01:00']",1070,"[['SMR', 'CTG'], ['CTG', 'CAU', 'HAL', 'SOU', 'LEH', 'RTM'], ['RTM', 'AMS']]","['CMA CGM, Hapag-Lloyd, ONE']"
2848,23 days,3,COSMR,NLAMS,"['19 OCT', ' 05:00', 'UTC-05:00']","['10 NOV', ' 23:25', 'UTC+01:00']",1010,"[['SMR', 'CAU'], ['CAU', 'LGP'], ['LGP', 'RTM'], ['RTM', 'AMS']]","['Hapag-Lloyd', 'Hapag-Lloyd', 'Hapag-Lloyd']"
2849,18 days,1,COTRB,NLRTM,"['22 OCT', ' 11:00', 'UTC-05:00']","['8 NOV', ' 23:00', 'UTC+01:00']",855,"[['TRB', 'CTB'], ['CTB', 'RTM']]","['MSC', 'MSC']"
2850,21 days,1,COTRB,NLRTM,"['26 OCT', ' 23:19', 'UTC-05:00']","['17 NOV', ' 03:11', 'UTC+01:00']",1095,"[['TRB', 'CTG'], ['CTG', 'CAU', 'HAL', 'SOU', 'LEH', 'RTM']]","['CMA CGM, Hapag-Lloyd, ONE']"
2851,26 days,2,COTRB,NLRTM,"['22 OCT', ' 11:00', 'UTC-05:00']","['17 NOV', ' 06:00', 'UTC+01:00']",910,"[['TRB', 'CTB'], ['CTB', 'ANR'], ['ANR', 'RTM']]","['MSC', 'MSC', 'Containerships, MSC']"
2852,17 days,2,COTRB,NLRTM,"['20 OCT', ' 18:16', 'UTC-05:00']","['7 NOV', ' 00:01', 'UTC+01:00']",1185,"[['TRB', 'CTG'], ['CTG', 'MIT'], ['MIT', 'ANR', 'RTM']]","['COSCO, Maersk', 'Maersk']"
2853,18 days,2,COTRB,NLRTM,"['20 OCT', ' 07:16', 'UTC-05:00']","['7 NOV', ' 00:01', 'UTC+01:00']",1185,"[['TRB', 'CTG'], ['CTG', 'MIT'], ['MIT', 'ANR', 'RTM']]","['Maersk', 'Maersk']"
2854,19 days,2,COTRB,NLRTM,"['20 OCT', ' 01:19', 'UTC-05:00']","['7 NOV', ' 13:00', 'UTC+01:00']",1205,"[['TRB', 'CTG'], ['CTG', 'PTM'], ['PTM', 'RTM']]","['Hapag-Lloyd', 'Hapag-Lloyd']"
2855,19 days,1,COTRB,BEANR,"['22 OCT', ' 11:00', 'UTC-05:00']","['10 NOV', ' 10:00', 'UTC+01:00']",855,"[['TRB', 'CTB'], ['CTB', 'ANR']]","['MSC', 'MSC']"
2856,27 days,1,COTRB,BEANR,"['26 OCT', ' 23:19', 'UTC-05:00']","['22 NOV', ' 06:00', 'UTC+01:00']",1200,"[['TRB', 'CTG'], ['CTG', 'CAU', 'HAL', 'SOU', 'LEH', 'RTM', 'HAM', 'ANR']]","['CMA CGM, Hapag-Lloyd, ONE']"
2857,22 days,2,COTRB,BEANR,"['26 OCT', ' 23:19', 'UTC-05:00']","['17 NOV', ' 06:14', 'UTC+01:00']",1190,"[['TRB', 'CTG'], ['CTG', 'CAU', 'HAL', 'SOU', 'LEH', 'RTM'], ['RTM', 'ANR']]","['CMA CGM, Hapag-Lloyd, ONE']"
2858,16 days,2,COTRB,NLVLI,"['22 OCT', ' 11:00', 'UTC-05:00']","['7 NOV', ' 07:23', 'UTC+01:00']",900,"[['TRB', 'CTB'], ['CTB', 'ZEE'], ['ZEE', 'VLI']]","['MSC', 'MSC']"
2859,22 days,2,COTRB,NLVLI,"['26 OCT', ' 23:19', 'UTC-05:00']","['17 NOV', ' 05:22', 'UTC+01:00']",1170,"[['TRB', 'CTG'], ['CTG', 'CAU', 'HAL', 'SOU', 'LEH', 'RTM'], ['RTM', 'VLI']]","['CMA CGM, Hapag-Lloyd, ONE']"
2860,27 days,2,COTRB,NLVLI,"['26 OCT', ' 23:19', 'UTC-05:00']","['22 NOV', ' 07:35', 'UTC+01:00']",1260,"[['TRB', 'CTG'], ['CTG', 'CAU', 'HAL', 'SOU', 'LEH', 'RTM', 'HAM', 'ANR'], ['ANR', 'VLI']]","['CMA CGM, Hapag-Lloyd, ONE']"
2861,16 days,1,COTRB,BEZEE,"['22 OCT', ' 11:00', 'UTC-05:00']","['7 NOV', ' 06:00', 'UTC+01:00']",850,"[['TRB', 'CTB'], ['CTB', 'ZEE']]","['MSC', 'MSC']"
2862,22 days,2,COTRB,BEZEE,"['26 OCT', ' 23:19', 'UTC-05:00']","['17 NOV', ' 06:28', 'UTC+01:00']",1200,"[['TRB', 'CTG'], ['CTG', 'CAU', 'HAL', 'SOU', 'LEH', 'RTM'], ['RTM', 'ZEE']]","['CMA CGM, Hapag-Lloyd, ONE']"
2863,27 days,2,COTRB,BEZEE,"['26 OCT', ' 23:19', 'UTC-05:00']","['22 NOV', ' 08:44', 'UTC+01:00']",1290,"[['TRB', 'CTG'], ['CTG', 'CAU', 'HAL', 'SOU', 'LEH', 'RTM', 'HAM', 'ANR'], ['ANR', 'ZEE']]","['CMA CGM, Hapag-Lloyd, ONE']"
