,Lead time,Transfers,Origin,Destination,Departure,Arrival,kg CO2e/TEU,Ports,Carriers
1305,32 days,1,VNVUT,BEANR,"['23 OCT', ' 22:00', 'UTC+07:00']","['24 NOV', ' 04:00', 'UTC+01:00']",870,"[['VUT', 'RTM'], ['RTM', 'ANR']]","['Hapag-Lloyd', 'Hapag-Lloyd']"
1306,32 days,1,VNVUT,BEANR,"['18 OCT', ' 04:10', 'UTC+07:00']","['18 NOV', ' 16:00', 'UTC+01:00']",880,"[['VUT', 'SIN', 'CMB', 'SUZ', 'RTM'], ['RTM', 'ANR']]","['Hapag-Lloyd, HMM, YML', 'Hapag-Lloyd, W.E.C. Lines']"
1307,27 days,1,VNVUT,BEANR,"['23 OCT', ' 22:00', 'UTC+07:00']","['19 NOV', ' 11:03', 'UTC+01:00']",910,"[['VUT', 'RTM'], ['RTM', 'ANR']]",['Hapag-Lloyd']
1308,26 days,1,VNVUT,BEANR,"['18 OCT', ' 04:10', 'UTC+07:00']","['12 NOV', ' 11:14', 'UTC+01:00']",915,"[['VUT', 'SIN', 'CMB', 'SUZ', 'RTM'], ['RTM', 'ANR']]","['Hapag-Lloyd, HMM, YML']"
1309,27 days,1,VNVUT,BEANR,"['19 OCT', ' 01:00', 'UTC+07:00']","['14 NOV', ' 14:00', 'UTC+01:00']",920,"[['VUT', 'TPP'], ['TPP', 'ANR']]","['MSC', 'MSC']"
1310,37 days,1,VNVUT,BEANR,"['23 OCT', ' 22:00', 'UTC+07:00']","['28 NOV', ' 22:00', 'UTC+01:00']",960,"[['VUT', 'RTM', 'BRV'], ['BRV', 'ANR']]","['Hapag-Lloyd', 'Hapag-Lloyd']"
1311,35 days,1,VNVUT,BEANR,"['18 OCT', ' 04:10', 'UTC+07:00']","['21 NOV', ' 22:00', 'UTC+01:00']",985,"[['VUT', 'SIN', 'CMB', 'SUZ', 'RTM', 'HAM'], ['HAM', 'ANR']]","['Hapag-Lloyd, HMM, YML', 'CMA CGM, Hapag-Lloyd']"
1312,38 days,1,VNVUT,BEANR,"['20 OCT', ' 08:10', 'UTC+07:00']","['26 NOV', ' 04:11', 'UTC+01:00']",985,"[['VUT', 'SIN'], ['SIN', 'CMB', 'SUZ', 'RTM', 'HAM', 'ANR']]","['Hapag-Lloyd, HMM, YML', 'Hapag-Lloyd, HMM, YML']"
1313,36 days,1,VNVUT,BEANR,"['18 OCT', ' 04:10', 'UTC+07:00']","['22 NOV', ' 06:00', 'UTC+01:00']",1045,"[['VUT', 'SIN', 'CMB', 'SUZ', 'RTM'], ['RTM', 'HAM', 'ANR']]","['Hapag-Lloyd, HMM, YML', 'Hapag-Lloyd, ONE, YML']"
1314,30 days,2,VNVUT,BEANR,"['20 OCT', ' 08:10', 'UTC+07:00']","['18 NOV', ' 16:00', 'UTC+01:00']",975,"[['VUT', 'SIN'], ['SIN', 'SUZ', 'RTM'], ['RTM', 'ANR']]","['Hapag-Lloyd, HMM, YML', 'Hapag-Lloyd, ONE, YML', 'Hapag-Lloyd, W.E.C. Lines']"
1315,30 days,2,VNVUT,BEANR,"['19 OCT', ' 23:22', 'UTC+07:00']","['18 NOV', ' 03:09', 'UTC+01:00']",1015,"[['VUT', 'CMT'], ['CMT', 'SUZ', 'PIR', 'HAM', 'RTM'], ['RTM', 'ANR']]",['Evergreen']
1316,32 days,2,VNVUT,BEANR,"['19 OCT', ' 23:22', 'UTC+07:00']","['20 NOV', ' 03:10', 'UTC+01:00']",1025,"[['VUT', 'CMT'], ['CMT', 'SUZ', 'PIR', 'HAM', 'RTM', 'ZEE'], ['ZEE', 'ANR']]",['Evergreen']
1317,36 days,2,VNVUT,BEANR,"['23 OCT', ' 22:00', 'UTC+07:00']","['28 NOV', ' 08:00', 'UTC+01:00']",1225,"[['VUT', 'RTM'], ['RTM', 'DUB'], ['DUB', 'ANR']]","['Hapag-Lloyd', 'Hapag-Lloyd', 'Hapag-Lloyd']"
1318,26 days,1,VNVUT,NLVLI,"['18 OCT', ' 04:10', 'UTC+07:00']","['12 NOV', ' 10:22', 'UTC+01:00']",895,"[['VUT', 'SIN', 'CMB', 'SUZ', 'RTM'], ['RTM', 'VLI']]","['Hapag-Lloyd, HMM, YML']"
1319,33 days,1,VNVUT,NLVLI,"['18 OCT', ' 04:10', 'UTC+07:00']","['19 NOV', ' 05:43', 'UTC+01:00']",940,"[['VUT', 'SIN', 'CMB', 'SUZ', 'RTM', 'HAM', 'ANR'], ['ANR', 'VLI']]","['Hapag-Lloyd, HMM, YML']"
1320,32 days,2,VNVUT,NLVLI,"['23 OCT', ' 22:00', 'UTC+07:00']","['24 NOV', ' 05:38', 'UTC+01:00']",930,"[['VUT', 'RTM'], ['RTM', 'ANR'], ['ANR', 'VLI']]","['Hapag-Lloyd', 'Hapag-Lloyd']"
1321,32 days,2,VNVUT,NLVLI,"['18 OCT', ' 04:10', 'UTC+07:00']","['18 NOV', ' 17:36', 'UTC+01:00']",940,"[['VUT', 'SIN', 'CMB', 'SUZ', 'RTM'], ['RTM', 'ANR'], ['ANR', 'VLI']]","['Hapag-Lloyd, HMM, YML', 'Hapag-Lloyd, W.E.C. Lines']"
1322,26 days,2,VNVUT,NLVLI,"['19 OCT', ' 01:00', 'UTC+07:00']","['13 NOV', ' 07:23', 'UTC+01:00']",965,"[['VUT', 'TPP'], ['TPP', 'ZEE'], ['ZEE', 'VLI']]","['MSC', 'MSC']"
